index,filename,reduced_formula,full_formula,num_sites,status,r_val,quality_tag,temperature,pressure,sgr,is_polymorph,polymorph_count,sg_number,refined_sg_number,refined_sg_symbol,is_organic,prototype
66682,39275.cif,Na4TiP2O9,Na+32.0 Ti4+8 P5+16 O2-72,136,success,0.0299,,573.0,0.101325,IBAM,True,4.0,72.0,72.0,Ibam,False,Quaternary
67295,39901.cif,Na4TiP2O9,Na+40 Ti4+10 P5+20 O2-90,160,success,0.073,Q,293.0,0.101325,P12/C1,True,4.0,13.0,13.0,P2/c,False,Quaternary
72419,41275.cif,Na4TiP2O9,Na+16 Ti4+4 P5+8 O2-36,68,success,0.0643,,663.0,0.101325,BMCM,True,4.0,,67.0,Cmme,False,Quaternary
128322,77076.cif,Na4TiP2O9,Na+8 Ti4+2 P5+4 O2-18,34,success,0.073,Q,293.0,0.101325,P12/C1,True,4.0,13.0,13.0,P2/c,False,Quaternary
44786,22203.cif,Na4UO5,Na+8 U6+2 O2-10,20,success,,,293.0,0.101325,I4/M,True,4.0,,87.0,I4/m,False,Ternary
30335,168568.cif,Na5H7(Se2O9)2,Na+5 H+7 Se6+4 O2-18,35,success,0.0257,Q,297.0,0.101325,P1-,True,4.0,2.0,2.0,P-1,False,Quaternary
66678,39271.cif,Na5H7(Se2O9)2,Na+5 H+7 Se6+4 O2-18,35,success,0.042,Q,293.0,0.101325,P1-,True,4.0,2.0,2.0,P-1,False,Quaternary
68096,40276.cif,Na5H7(Se2O9)2,Na+5 H+7 Se6+4 O2-18,34,success,0.0295,Q,293.0,0.101325,P1-,True,4.0,2.0,2.0,P-1,False,Quaternary
65211,37012.cif,Na6CoS4,Na+12 Co2+2 S2-8,22,success,0.02,Q,293.0,0.101325,P63MC,True,4.0,186.0,186.0,P6_3mc,False,Ternary
61681,30875.cif,Na8.64Ca2.62S6O25.88,Na+8.64 Ca2+2.62 S6+6 O2-25.88,48,success,0.038,,,,P63/M,True,4.0,,176.0,P6_3/m,False,Quaternary
40143,188524.cif,NaAgO,Na+8 Ag+8 O2-8,24,success,,,,,,True,4.0,,119.0,I-4m2,False,Ternary
40146,188531.cif,NaAgO,Na+4 Ag+4 O2-4,12,success,,,,,,True,4.0,,216.0,F-43m,False,Ternary
