mp_id,reduced_formula,atoms,polymorphs,elements,sg,sg_num,packing_density,occupied_volume,unit_cell_volume,perovskite,polyhedron,cn,binary,ternary,prototype,ox_state
cifs/mp-22345.cif,TiCdO3,5,1,"['Ti', 'Cd', 'O']",P m -3 m,221,0.433976406,29.8069075,68.68324432,True,2,18,False,True,Perovskite,"{'Ti': 4.0, 'Cd': 2.0, 'O': -2.0}"
cifs/mp-2237.cif,TeO2,6,1,"['Te', 'O']",P 42/m n m,136,0.299456124,26.60719538,88.85173225,False,2,6,True,False,Fluorite/Rutile,"{'Te': 4.0, 'O': -2.0}"
cifs/mp-22375.cif,In2S3,10,1,"['In', 'S']",R -3 c,167,0.381204033,87.52686572,229.6063476,False,4,6,True,False,Binary,"{'In': 3.0, 'S': -2.0}"
cifs/mp-22376.cif,PrNiSn,9,1,"['Pr', 'Ni', 'Sn']",P -6 2 m,189,0.756100477,148.7936821,196.7908851,False,9,30,False,True,Ternary,{}
cifs/mp-22386.cif,InAgTe2,8,1,"['In', 'Ag', 'Te']",I -4 2 d,122,0.396852528,111.4877929,280.9300311,False,8,4,False,True,Ternary,"{'In': 3.0, 'Ag': 1.0, 'Te': -2.0}"
cifs/mp-22389.cif,Mn3Sn,8,1,"['Mn', 'Sn']",C m c m,63,0.775293671,94.50434301,121.8948982,False,8,12,True,False,Binary,{}
cifs/mp-22390.cif,SrRuO3,20,1,"['Sr', 'Ru', 'O']",P n m a,62,0.721111826,181.7097191,251.9854933,True,8,15,False,True,Perovskite,"{'Sr': 2.0, 'Ru': 4.0, 'O': -2.0}"
cifs/mp-22398.cif,FeF3,8,1,"['Fe', 'F']",R -3 c,167,0.237677436,26.1296733,109.937543,False,2,6,True,False,Binary,"{'Fe': 3.0, 'F': -1.0}"
cifs/mp-224.cif,WS2,6,1,"['W', 'S']",P 63/m m c,194,0.298412708,37.36715022,125.2197014,False,2,6,True,False,Fluorite/Rutile,"{'W': 4.0, 'S': -2.0}"
cifs/mp-22408.cif,CoO,8,1,"['Co', 'O']",P 1,1,0.461123368,11.21077338,24.31187436,False,4,4,True,False,Rocksalt/Zincblende/CsCl,"{'Co': 2.0, 'O': -2.0}"
cifs/mp-22419.cif,NdSnPd,9,1,"['Nd', 'Sn', 'Pd']",P -6 2 m,189,0.720473191,152.3578189,211.4691022,False,9,30,False,True,Ternary,{}
cifs/mp-2242.cif,GeS,8,1,"['Ge', 'S']",P n m a,62,0.281351624,49.48008429,175.8656429,False,4,3,True,False,Rocksalt/Zincblende/CsCl,"{'Ge': 2.0, 'S': -2.0}"
cifs/mp-22420.cif,CuTeO4,24,1,"['Cu', 'Te', 'O']",P 21/c,14,0.362711539,101.676599,280.3235853,False,8,6,False,True,Ternary,"{'Cu': 2.0, 'Te': 6.0, 'O': -2.0}"
cifs/mp-22424.cif,Na2SO4,14,1,"['Na', 'S', 'O']",P -3 m 1,164,0.632752411,113.3319078,179.109405,False,4,22,False,True,Spinel,"{'Na': 1.0, 'S': 3.0, 'O': -1.25}"
cifs/mp-2243.cif,NbS,2,1,"['Nb', 'S']",P -6 m 2,187,0.534895634,16.95884074,31.70495263,False,1,6,True,False,Rocksalt/Zincblende/CsCl,"{'Nb': 2.0, 'S': -2.0}"
cifs/mp-22438.cif,Ce(SiPt)2,10,1,"['Ce', 'Si', 'Pt']",P 4/n m m,129,0.653366015,116.5687954,178.412701,False,10,25,False,True,Ternary,"{'Ce': 4.0, 'Si': -4.0, 'Pt': 2.0}"
cifs/mp-22443.cif,VInO4,12,1,"['V', 'In', 'O']",C m c m,63,0.345234721,59.04728112,171.0351753,False,4,10,False,True,Ternary,"{'V': 5.0, 'In': 3.0, 'O': -2.0}"
cifs/mp-22451.cif,MoPRu,12,1,"['Mo', 'P', 'Ru']",P n m a,62,0.635786348,104.6464513,164.5937376,False,12,32,False,True,Ternary,{}
cifs/mp-22461.cif,Fe3Sn,4,1,"['Fe', 'Sn']",P m -3 m,221,0.848664863,47.2521715,55.67824659,False,4,12,True,False,Binary,{}
cifs/mp-22469.cif,InNi3,8,1,"['In', 'Ni']",C m c m,63,0.890381793,93.03303045,104.4866721,False,8,12,True,False,Binary,{}
