mp_id,oxidation_states,entry_type
mp-1008867,"{'Na': 1.0, 'Cu': 1.0, 'O': -2.0}",GGA
mp-1008875,{},GGA
mp-1008901,"{'Mg': 2.0, 'H': -1.0}",GGA
mp-1008903,"{'Mg': 2.0, 'Ag': 1.0, 'Sb': -3.0}",GGA
mp-1008910,{},GGA
mp-1008911,"{'Li': 1.0, 'Mn': 2.0, 'As': -3.0}",GGA
mp-1008912,"{'Ag': 1.0, 'C': -1.0}",GGA
mp-1008918,"{'Cd': 2.0, 'N': -2.0}",GGA
mp-1008920,"{'Mn': 2.0, 'Ge': -4.0}",GGA
mp-1008921,"{'Cd': 2.0, 'N': -2.0}",GGA
mp-1008923,"{'Cu': 1.0, 'N': -1.0}",GGA
mp-1008924,"{'Dy': 3.0, 'Sb': -3.0}",GGA
mp-1008925,"{'Li': 1.0, 'Fe': 2.0, 'P': -3.0}",GGA
mp-1008927,"{'Li': 1.0, 'Fe': 2.0, 'As': -3.0}",GGA
mp-1008929,"{'Fe': 3.0, 'N': -3.0}",GGA
mp-1008931,"{'Er': 3.0, 'Sb': -3.0}",GGA
mp-1008985,"{'Co': 3.0, 'N': -3.0}",GGA
mp-1008986,"{'Ir': 3.0, 'N': -3.0}",GGA
mp-1008987,"{'Ir': 3.0, 'N': -3.0}",GGA
mp-1008998,"{'La': 2.0, 'S': -2.0}",GGA
mp-1009005,"{'Ir': 3.0, 'N': -3.0}",GGA
mp-1009006,"{'Li': 1.0, 'Cd': 2.0, 'As': -3.0}",GGA
mp-1009007,"{'Lu': 3.0, 'Sb': -3.0}",GGA
mp-1009009,"{'Li': 1.0, 'F': -1.0}",GGA
mp-1009014,"{'Li': 1.0, 'Cu': 1.0, 'O': -2.0}",GGA
mp-1009016,"{'Lu': 3.0, 'As': -3.0}",GGA
mp-1009019,"{'Fe': 3.0, 'N': -3.0}",GGA
mp-1009020,"{'K': 1.0, 'Cu': 1.0, 'O': -2.0}",GGA
mp-1009078,"{'Co': 3.0, 'N': -3.0}",GGA
mp-1009080,{},GGA
mp-1009085,"{'Be': 2.0, 'Si': 4.0, 'P': -3.0}",GGA
mp-1009113,{},GGA
mp-1009127,"{'Mg': 2.0, 'O': -2.0}",GGA
mp-1009128,"{'Mn': 3.0, 'N': -3.0}",GGA
mp-1009129,"{'Mg': 2.0, 'O': -2.0}",GGA
